handle,Vendor,title,Body (HTML),Type,Product Category,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option4 Value,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,status
sparkle-6-prongs-moissanite-engagement-ring-for-women-in-sterling-silver,1677908106396,Bortwide 2.0 Carat Round Cut Vintage Engagement Ring,"<table style=""width: 548px;"">
<tbody>
<tr>
<td style=""width: 285px;"">
<div><strong>Ring information:</strong></div>
</td>
<td style=""width: 249px;"">&nbsp;</td>
</tr>
<tr>
<td style=""width: 285px;"">
<div>Metal:</div>
</td>
<td style=""width: 249px;"">925 Sterling Silver;</td>
</tr>
<tr>
<td style=""width: 285px;"">
<div>Plating Color:</div>
</td>
<td style=""width: 249px;"">
<div>18K White Gold;</div>
</td>
</tr>
<tr>
<td style=""width: 285px;"">
<div>Rhodium:</div>
</td>
<td style=""width: 249px;"">Yes;</td>
</tr>
<tr>
<td style=""width: 285px;"">
<div>Nickel Free:</div>
</td>
<td style=""width: 249px;"">
<div>Yes;</div>
</td>
</tr>
<tr>
<td style=""width: 285px;"">
<div><strong>Gem Information:</strong></div>
</td>
<td style=""width: 249px;"">&nbsp;</td>
</tr>
<tr>
<td style=""width: 285px;"">
<div>Gem Type:</div>
</td>
<td style=""width: 249px;"">
<div>Bortwide Stone;</div>
</td>
</tr>
<tr>
<td style=""width: 285px;"">
<div>Center Stone Shape:</div>
</td>
<td style=""width: 249px;"">Round Cut(8.0mm);</td>
</tr>
<tr>
<td style=""width: 285px;"">
<div>Center Stone Color:</div>
</td>
<td style=""width: 249px;"">White;</td>
</tr>
<tr>
<td style=""width: 285px;"">Center Stone Weight:</td>
<td style=""width: 249px;"">
<div>2.0 Carat;</div>
</td>
</tr>
<tr>
<td style=""width: 285px;"">Band Side Stone Shape:</td>
<td style=""width: 249px;"">
<div>Round Cut;</div>
</td>
</tr>
</tbody>
</table>
<p><img src=""https://img-va.myshopline.com/image/store/2005006619/1677908106396/AD52F6AA-A7A4-4949-951E-2FFB968FDEF9_16.png?w=600&amp;h=300"" alt="""" /></p>
<p>Introducing our Vintage Design Moissanite Engagement Ring, a timeless blend of classic allure and modern elegance. Inspired by vintage aesthetics, this ring features a brilliant 2.0-carat round cut Moissanite, radiating unmatched sparkle. The vintage-inspired setting adds a touch of romance and sophistication, creating a piece that transcends trends. Elevate your love story with the charm of the past and the brilliance of the future in this exquisite and enduring symbol of commitment.</p>",jewellery,Apparel & Accessories > Jewelry > Rings,TRUE,color,white gold,size,4.5,,,0,shopify,10115,deny,manual,12900,12900,TRUE,TRUE,,https://img-va.myshopline.com/image/store/2005006619/1677908106396/ER1152PMSS-6.jpg?w=800&h=800,1,Moissanite 2.0 Carat Round Cut Vintage Engagement Ring,active
sparkle-6-prongs-moissanite-engagement-ring-for-women-in-sterling-silver,1677908106396,Bortwide 2.0 Carat Round Cut Vintage Engagement Ring,"<table style=""width: 548px;"">
<tbody>
<tr>
<td style=""width: 285px;"">
<div><strong>Ring information:</strong></div>
</td>
<td style=""width: 249px;"">&nbsp;</td>
</tr>
<tr>
<td style=""width: 285px;"">
<div>Metal:</div>
</td>
<td style=""width: 249px;"">925 Sterling Silver;</td>
</tr>
<tr>
<td style=""width: 285px;"">
<div>Plating Color:</div>
</td>
<td style=""width: 249px;"">
<div>18K White Gold;</div>
</td>
</tr>
<tr>
<td style=""width: 285px;"">
<div>Rhodium:</div>
</td>
<td style=""width: 249px;"">Yes;</td>
</tr>
<tr>
<td style=""width: 285px;"">
<div>Nickel Free:</div>
</td>
<td style=""width: 249px;"">
<div>Yes;</div>
</td>
</tr>
<tr>
<td style=""width: 285px;"">
<div><strong>Gem Information:</strong></div>
</td>
<td style=""width: 249px;"">&nbsp;</td>
</tr>
<tr>
<td style=""width: 285px;"">
<div>Gem Type:</div>
</td>
<td style=""width: 249px;"">
<div>Bortwide Stone;</div>
</td>
</tr>
<tr>
<td style=""width: 285px;"">
<div>Center Stone Shape:</div>
</td>
<td style=""width: 249px;"">Round Cut(8.0mm);</td>
</tr>
<tr>
<td style=""width: 285px;"">
<div>Center Stone Color:</div>
</td>
<td style=""width: 249px;"">White;</td>
</tr>
<tr>
<td style=""width: 285px;"">Center Stone Weight:</td>
<td style=""width: 249px;"">
<div>2.0 Carat;</div>
</td>
</tr>
<tr>
<td style=""width: 285px;"">Band Side Stone Shape:</td>
<td style=""width: 249px;"">
<div>Round Cut;</div>
</td>
</tr>
</tbody>
</table>
<p><img src=""https://img-va.myshopline.com/image/store/2005006619/1677908106396/AD52F6AA-A7A4-4949-951E-2FFB968FDEF9_16.png?w=600&amp;h=300"" alt="""" /></p>
<p>Introducing our Vintage Design Moissanite Engagement Ring, a timeless blend of classic allure and modern elegance. Inspired by vintage aesthetics, this ring features a brilliant 2.0-carat round cut Moissanite, radiating unmatched sparkle. The vintage-inspired setting adds a touch of romance and sophistication, creating a piece that transcends trends. Elevate your love story with the charm of the past and the brilliance of the future in this exquisite and enduring symbol of commitment.</p>",jewellery,Apparel & Accessories > Jewelry > Rings,TRUE,,white gold,,5,,,0,shopify,10115,deny,manual,12900,12900,TRUE,TRUE,,https://img-va.myshopline.com/image/store/2005006619/1677908106396/ER1152PMSS-6.jpg?w=800&h=800,1,Moissanite 2.0 Carat Round Cut Vintage Engagement Ring,active
sparkle-6-prongs-moissanite-engagement-ring-for-women-in-sterling-silver,1677908106396,Bortwide 2.0 Carat Round Cut Vintage Engagement Ring,"<table style=""width: 548px;"">
<tbody>
<tr>
<td style=""width: 285px;"">
<div><strong>Ring information:</strong></div>
</td>
<td style=""width: 249px;"">&nbsp;</td>
</tr>
<tr>
<td style=""width: 285px;"">
<div>Metal:</div>
</td>
<td style=""width: 249px;"">925 Sterling Silver;</td>
</tr>
<tr>
<td style=""width: 285px;"">
<div>Plating Color:</div>
</td>
<td style=""width: 249px;"">
<div>18K White Gold;</div>
</td>
</tr>
<tr>
<td style=""width: 285px;"">
<div>Rhodium:</div>
</td>
<td style=""width: 249px;"">Yes;</td>
</tr>
<tr>
<td style=""width: 285px;"">
<div>Nickel Free:</div>
</td>
<td style=""width: 249px;"">
<div>Yes;</div>
</td>
</tr>
<tr>
<td style=""width: 285px;"">
<div><strong>Gem Information:</strong></div>
</td>
<td style=""width: 249px;"">&nbsp;</td>
</tr>
<tr>
<td style=""width: 285px;"">
<div>Gem Type:</div>
</td>
<td style=""width: 249px;"">
<div>Bortwide Stone;</div>
</td>
</tr>
<tr>
<td style=""width: 285px;"">
<div>Center Stone Shape:</div>
</td>
<td style=""width: 249px;"">Round Cut(8.0mm);</td>
</tr>
<tr>
<td style=""width: 285px;"">
<div>Center Stone Color:</div>
</td>
<td style=""width: 249px;"">White;</td>
</tr>
<tr>
<td style=""width: 285px;"">Center Stone Weight:</td>
<td style=""width: 249px;"">
<div>2.0 Carat;</div>
</td>
</tr>
<tr>
<td style=""width: 285px;"">Band Side Stone Shape:</td>
<td style=""width: 249px;"">
<div>Round Cut;</div>
</td>
</tr>
</tbody>
</table>
<p><img src=""https://img-va.myshopline.com/image/store/2005006619/1677908106396/AD52F6AA-A7A4-4949-951E-2FFB968FDEF9_16.png?w=600&amp;h=300"" alt="""" /></p>
<p>Introducing our Vintage Design Moissanite Engagement Ring, a timeless blend of classic allure and modern elegance. Inspired by vintage aesthetics, this ring features a brilliant 2.0-carat round cut Moissanite, radiating unmatched sparkle. The vintage-inspired setting adds a touch of romance and sophistication, creating a piece that transcends trends. Elevate your love story with the charm of the past and the brilliance of the future in this exquisite and enduring symbol of commitment.</p>",jewellery,Apparel & Accessories > Jewelry > Rings,TRUE,,white gold,,5.5,,,0,shopify,10115,deny,manual,12900,12900,TRUE,TRUE,,https://img-va.myshopline.com/image/store/2005006619/1677908106396/ER1152PMSS-6.jpg?w=800&h=800,1,Moissanite 2.0 Carat Round Cut Vintage Engagement Ring,active
sparkle-6-prongs-moissanite-engagement-ring-for-women-in-sterling-silver,1677908106396,Bortwide 2.0 Carat Round Cut Vintage Engagement Ring,"<table style=""width: 548px;"">
<tbody>
<tr>
<td style=""width: 285px;"">
<div><strong>Ring information:</strong></div>
</td>
<td style=""width: 249px;"">&nbsp;</td>
</tr>
<tr>
<td style=""width: 285px;"">
<div>Metal:</div>
</td>
<td style=""width: 249px;"">925 Sterling Silver;</td>
</tr>
<tr>
<td style=""width: 285px;"">
<div>Plating Color:</div>
</td>
<td style=""width: 249px;"">
<div>18K White Gold;</div>
</td>
</tr>
<tr>
<td style=""width: 285px;"">
<div>Rhodium:</div>
</td>
<td style=""width: 249px;"">Yes;</td>
</tr>
<tr>
<td style=""width: 285px;"">
<div>Nickel Free:</div>
</td>
<td style=""width: 249px;"">
<div>Yes;</div>
</td>
</tr>
<tr>
<td style=""width: 285px;"">
<div><strong>Gem Information:</strong></div>
</td>
<td style=""width: 249px;"">&nbsp;</td>
</tr>
<tr>
<td style=""width: 285px;"">
<div>Gem Type:</div>
</td>
<td style=""width: 249px;"">
<div>Bortwide Stone;</div>
</td>
</tr>
<tr>
<td style=""width: 285px;"">
<div>Center Stone Shape:</div>
</td>
<td style=""width: 249px;"">Round Cut(8.0mm);</td>
</tr>
<tr>
<td style=""width: 285px;"">
<div>Center Stone Color:</div>
</td>
<td style=""width: 249px;"">White;</td>
</tr>
<tr>
<td style=""width: 285px;"">Center Stone Weight:</td>
<td style=""width: 249px;"">
<div>2.0 Carat;</div>
</td>
</tr>
<tr>
<td style=""width: 285px;"">Band Side Stone Shape:</td>
<td style=""width: 249px;"">
<div>Round Cut;</div>
</td>
</tr>
</tbody>
</table>
<p><img src=""https://img-va.myshopline.com/image/store/2005006619/1677908106396/AD52F6AA-A7A4-4949-951E-2FFB968FDEF9_16.png?w=600&amp;h=300"" alt="""" /></p>
<p>Introducing our Vintage Design Moissanite Engagement Ring, a timeless blend of classic allure and modern elegance. Inspired by vintage aesthetics, this ring features a brilliant 2.0-carat round cut Moissanite, radiating unmatched sparkle. The vintage-inspired setting adds a touch of romance and sophistication, creating a piece that transcends trends. Elevate your love story with the charm of the past and the brilliance of the future in this exquisite and enduring symbol of commitment.</p>",jewellery,Apparel & Accessories > Jewelry > Rings,TRUE,,white gold,,6,,,0,shopify,10115,deny,manual,12900,12900,TRUE,TRUE,,https://img-va.myshopline.com/image/store/2005006619/1677908106396/ER1152PMSS-6.jpg?w=800&h=800,1,Moissanite 2.0 Carat Round Cut Vintage Engagement Ring,active
sparkle-6-prongs-moissanite-engagement-ring-for-women-in-sterling-silver,1677908106396,Bortwide 2.0 Carat Round Cut Vintage Engagement Ring,"<table style=""width: 548px;"">
<tbody>
<tr>
<td style=""width: 285px;"">
<div><strong>Ring information:</strong></div>
</td>
<td style=""width: 249px;"">&nbsp;</td>
</tr>
<tr>
<td style=""width: 285px;"">
<div>Metal:</div>
</td>
<td style=""width: 249px;"">925 Sterling Silver;</td>
</tr>
<tr>
<td style=""width: 285px;"">
<div>Plating Color:</div>
</td>
<td style=""width: 249px;"">
<div>18K White Gold;</div>
</td>
</tr>
<tr>
<td style=""width: 285px;"">
<div>Rhodium:</div>
</td>
<td style=""width: 249px;"">Yes;</td>
</tr>
<tr>
<td style=""width: 285px;"">
<div>Nickel Free:</div>
</td>
<td style=""width: 249px;"">
<div>Yes;</div>
</td>
</tr>
<tr>
<td style=""width: 285px;"">
<div><strong>Gem Information:</strong></div>
</td>
<td style=""width: 249px;"">&nbsp;</td>
</tr>
<tr>
<td style=""width: 285px;"">
<div>Gem Type:</div>
</td>
<td style=""width: 249px;"">
<div>Bortwide Stone;</div>
</td>
</tr>
<tr>
<td style=""width: 285px;"">
<div>Center Stone Shape:</div>
</td>
<td style=""width: 249px;"">Round Cut(8.0mm);</td>
</tr>
<tr>
<td style=""width: 285px;"">
<div>Center Stone Color:</div>
</td>
<td style=""width: 249px;"">White;</td>
</tr>
<tr>
<td style=""width: 285px;"">Center Stone Weight:</td>
<td style=""width: 249px;"">
<div>2.0 Carat;</div>
</td>
</tr>
<tr>
<td style=""width: 285px;"">Band Side Stone Shape:</td>
<td style=""width: 249px;"">
<div>Round Cut;</div>
</td>
</tr>
</tbody>
</table>
<p><img src=""https://img-va.myshopline.com/image/store/2005006619/1677908106396/AD52F6AA-A7A4-4949-951E-2FFB968FDEF9_16.png?w=600&amp;h=300"" alt="""" /></p>
<p>Introducing our Vintage Design Moissanite Engagement Ring, a timeless blend of classic allure and modern elegance. Inspired by vintage aesthetics, this ring features a brilliant 2.0-carat round cut Moissanite, radiating unmatched sparkle. The vintage-inspired setting adds a touch of romance and sophistication, creating a piece that transcends trends. Elevate your love story with the charm of the past and the brilliance of the future in this exquisite and enduring symbol of commitment.</p>",jewellery,Apparel & Accessories > Jewelry > Rings,TRUE,,white gold,,6.5,,,0,shopify,10115,deny,manual,12900,12900,TRUE,TRUE,,https://img-va.myshopline.com/image/store/2005006619/1677908106396/ER1152PMSS-6.jpg?w=800&h=800,1,Moissanite 2.0 Carat Round Cut Vintage Engagement Ring,active
sparkle-6-prongs-moissanite-engagement-ring-for-women-in-sterling-silver,1677908106396,Bortwide 2.0 Carat Round Cut Vintage Engagement Ring,"<table style=""width: 548px;"">
<tbody>
<tr>
<td style=""width: 285px;"">
<div><strong>Ring information:</strong></div>
</td>
<td style=""width: 249px;"">&nbsp;</td>
</tr>
<tr>
<td style=""width: 285px;"">
<div>Metal:</div>
</td>
<td style=""width: 249px;"">925 Sterling Silver;</td>
</tr>
<tr>
<td style=""width: 285px;"">
<div>Plating Color:</div>
</td>
<td style=""width: 249px;"">
<div>18K White Gold;</div>
</td>
</tr>
<tr>
<td style=""width: 285px;"">
<div>Rhodium:</div>
</td>
<td style=""width: 249px;"">Yes;</td>
</tr>
<tr>
<td style=""width: 285px;"">
<div>Nickel Free:</div>
</td>
<td style=""width: 249px;"">
<div>Yes;</div>
</td>
</tr>
<tr>
<td style=""width: 285px;"">
<div><strong>Gem Information:</strong></div>
</td>
<td style=""width: 249px;"">&nbsp;</td>
</tr>
<tr>
<td style=""width: 285px;"">
<div>Gem Type:</div>
</td>
<td style=""width: 249px;"">
<div>Bortwide Stone;</div>
</td>
</tr>
<tr>
<td style=""width: 285px;"">
<div>Center Stone Shape:</div>
</td>
<td style=""width: 249px;"">Round Cut(8.0mm);</td>
</tr>
<tr>
<td style=""width: 285px;"">
<div>Center Stone Color:</div>
</td>
<td style=""width: 249px;"">White;</td>
</tr>
<tr>
<td style=""width: 285px;"">Center Stone Weight:</td>
<td style=""width: 249px;"">
<div>2.0 Carat;</div>
</td>
</tr>
<tr>
<td style=""width: 285px;"">Band Side Stone Shape:</td>
<td style=""width: 249px;"">
<div>Round Cut;</div>
</td>
</tr>
</tbody>
</table>
<p><img src=""https://img-va.myshopline.com/image/store/2005006619/1677908106396/AD52F6AA-A7A4-4949-951E-2FFB968FDEF9_16.png?w=600&amp;h=300"" alt="""" /></p>
<p>Introducing our Vintage Design Moissanite Engagement Ring, a timeless blend of classic allure and modern elegance. Inspired by vintage aesthetics, this ring features a brilliant 2.0-carat round cut Moissanite, radiating unmatched sparkle. The vintage-inspired setting adds a touch of romance and sophistication, creating a piece that transcends trends. Elevate your love story with the charm of the past and the brilliance of the future in this exquisite and enduring symbol of commitment.</p>",jewellery,Apparel & Accessories > Jewelry > Rings,TRUE,,white gold,,7,,,0,shopify,10115,deny,manual,12900,12900,TRUE,TRUE,,https://img-va.myshopline.com/image/store/2005006619/1677908106396/ER1152PMSS-6.jpg?w=800&h=800,1,Moissanite 2.0 Carat Round Cut Vintage Engagement Ring,active
sparkle-6-prongs-moissanite-engagement-ring-for-women-in-sterling-silver,1677908106396,Bortwide 2.0 Carat Round Cut Vintage Engagement Ring,"<table style=""width: 548px;"">
<tbody>
<tr>
<td style=""width: 285px;"">
<div><strong>Ring information:</strong></div>
</td>
<td style=""width: 249px;"">&nbsp;</td>
</tr>
<tr>
<td style=""width: 285px;"">
<div>Metal:</div>
</td>
<td style=""width: 249px;"">925 Sterling Silver;</td>
</tr>
<tr>
<td style=""width: 285px;"">
<div>Plating Color:</div>
</td>
<td style=""width: 249px;"">
<div>18K White Gold;</div>
</td>
</tr>
<tr>
<td style=""width: 285px;"">
<div>Rhodium:</div>
</td>
<td style=""width: 249px;"">Yes;</td>
</tr>
<tr>
<td style=""width: 285px;"">
<div>Nickel Free:</div>
</td>
<td style=""width: 249px;"">
<div>Yes;</div>
</td>
</tr>
<tr>
<td style=""width: 285px;"">
<div><strong>Gem Information:</strong></div>
</td>
<td style=""width: 249px;"">&nbsp;</td>
</tr>
<tr>
<td style=""width: 285px;"">
<div>Gem Type:</div>
</td>
<td style=""width: 249px;"">
<div>Bortwide Stone;</div>
</td>
</tr>
<tr>
<td style=""width: 285px;"">
<div>Center Stone Shape:</div>
</td>
<td style=""width: 249px;"">Round Cut(8.0mm);</td>
</tr>
<tr>
<td style=""width: 285px;"">
<div>Center Stone Color:</div>
</td>
<td style=""width: 249px;"">White;</td>
</tr>
<tr>
<td style=""width: 285px;"">Center Stone Weight:</td>
<td style=""width: 249px;"">
<div>2.0 Carat;</div>
</td>
</tr>
<tr>
<td style=""width: 285px;"">Band Side Stone Shape:</td>
<td style=""width: 249px;"">
<div>Round Cut;</div>
</td>
</tr>
</tbody>
</table>
<p><img src=""https://img-va.myshopline.com/image/store/2005006619/1677908106396/AD52F6AA-A7A4-4949-951E-2FFB968FDEF9_16.png?w=600&amp;h=300"" alt="""" /></p>
<p>Introducing our Vintage Design Moissanite Engagement Ring, a timeless blend of classic allure and modern elegance. Inspired by vintage aesthetics, this ring features a brilliant 2.0-carat round cut Moissanite, radiating unmatched sparkle. The vintage-inspired setting adds a touch of romance and sophistication, creating a piece that transcends trends. Elevate your love story with the charm of the past and the brilliance of the future in this exquisite and enduring symbol of commitment.</p>",jewellery,Apparel & Accessories > Jewelry > Rings,TRUE,,white gold,,7.5,,,0,shopify,10115,deny,manual,12900,12900,TRUE,TRUE,,https://img-va.myshopline.com/image/store/2005006619/1677908106396/ER1152PMSS-6.jpg?w=800&h=800,1,Moissanite 2.0 Carat Round Cut Vintage Engagement Ring,active
sparkle-6-prongs-moissanite-engagement-ring-for-women-in-sterling-silver,1677908106396,Bortwide 2.0 Carat Round Cut Vintage Engagement Ring,"<table style=""width: 548px;"">
<tbody>
<tr>
<td style=""width: 285px;"">
<div><strong>Ring information:</strong></div>
</td>
<td style=""width: 249px;"">&nbsp;</td>
</tr>
<tr>
<td style=""width: 285px;"">
<div>Metal:</div>
</td>
<td style=""width: 249px;"">925 Sterling Silver;</td>
</tr>
<tr>
<td style=""width: 285px;"">
<div>Plating Color:</div>
</td>
<td style=""width: 249px;"">
<div>18K White Gold;</div>
</td>
</tr>
<tr>
<td style=""width: 285px;"">
<div>Rhodium:</div>
</td>
<td style=""width: 249px;"">Yes;</td>
</tr>
<tr>
<td style=""width: 285px;"">
<div>Nickel Free:</div>
</td>
<td style=""width: 249px;"">
<div>Yes;</div>
</td>
</tr>
<tr>
<td style=""width: 285px;"">
<div><strong>Gem Information:</strong></div>
</td>
<td style=""width: 249px;"">&nbsp;</td>
</tr>
<tr>
<td style=""width: 285px;"">
<div>Gem Type:</div>
</td>
<td style=""width: 249px;"">
<div>Bortwide Stone;</div>
</td>
</tr>
<tr>
<td style=""width: 285px;"">
<div>Center Stone Shape:</div>
</td>
<td style=""width: 249px;"">Round Cut(8.0mm);</td>
</tr>
<tr>
<td style=""width: 285px;"">
<div>Center Stone Color:</div>
</td>
<td style=""width: 249px;"">White;</td>
</tr>
<tr>
<td style=""width: 285px;"">Center Stone Weight:</td>
<td style=""width: 249px;"">
<div>2.0 Carat;</div>
</td>
</tr>
<tr>
<td style=""width: 285px;"">Band Side Stone Shape:</td>
<td style=""width: 249px;"">
<div>Round Cut;</div>
</td>
</tr>
</tbody>
</table>
<p><img src=""https://img-va.myshopline.com/image/store/2005006619/1677908106396/AD52F6AA-A7A4-4949-951E-2FFB968FDEF9_16.png?w=600&amp;h=300"" alt="""" /></p>
<p>Introducing our Vintage Design Moissanite Engagement Ring, a timeless blend of classic allure and modern elegance. Inspired by vintage aesthetics, this ring features a brilliant 2.0-carat round cut Moissanite, radiating unmatched sparkle. The vintage-inspired setting adds a touch of romance and sophistication, creating a piece that transcends trends. Elevate your love story with the charm of the past and the brilliance of the future in this exquisite and enduring symbol of commitment.</p>",jewellery,Apparel & Accessories > Jewelry > Rings,TRUE,,white gold,,8,,,0,shopify,10115,deny,manual,12900,12900,TRUE,TRUE,,https://img-va.myshopline.com/image/store/2005006619/1677908106396/ER1152PMSS-6.jpg?w=800&h=800,1,Moissanite 2.0 Carat Round Cut Vintage Engagement Ring,active
sparkle-6-prongs-moissanite-engagement-ring-for-women-in-sterling-silver,1677908106396,Bortwide 2.0 Carat Round Cut Vintage Engagement Ring,"<table style=""width: 548px;"">
<tbody>
<tr>
<td style=""width: 285px;"">
<div><strong>Ring information:</strong></div>
</td>
<td style=""width: 249px;"">&nbsp;</td>
</tr>
<tr>
<td style=""width: 285px;"">
<div>Metal:</div>
</td>
<td style=""width: 249px;"">925 Sterling Silver;</td>
</tr>
<tr>
<td style=""width: 285px;"">
<div>Plating Color:</div>
</td>
<td style=""width: 249px;"">
<div>18K White Gold;</div>
</td>
</tr>
<tr>
<td style=""width: 285px;"">
<div>Rhodium:</div>
</td>
<td style=""width: 249px;"">Yes;</td>
</tr>
<tr>
<td style=""width: 285px;"">
<div>Nickel Free:</div>
</td>
<td style=""width: 249px;"">
<div>Yes;</div>
</td>
</tr>
<tr>
<td style=""width: 285px;"">
<div><strong>Gem Information:</strong></div>
</td>
<td style=""width: 249px;"">&nbsp;</td>
</tr>
<tr>
<td style=""width: 285px;"">
<div>Gem Type:</div>
</td>
<td style=""width: 249px;"">
<div>Bortwide Stone;</div>
</td>
</tr>
<tr>
<td style=""width: 285px;"">
<div>Center Stone Shape:</div>
</td>
<td style=""width: 249px;"">Round Cut(8.0mm);</td>
</tr>
<tr>
<td style=""width: 285px;"">
<div>Center Stone Color:</div>
</td>
<td style=""width: 249px;"">White;</td>
</tr>
<tr>
<td style=""width: 285px;"">Center Stone Weight:</td>
<td style=""width: 249px;"">
<div>2.0 Carat;</div>
</td>
</tr>
<tr>
<td style=""width: 285px;"">Band Side Stone Shape:</td>
<td style=""width: 249px;"">
<div>Round Cut;</div>
</td>
</tr>
</tbody>
</table>
<p><img src=""https://img-va.myshopline.com/image/store/2005006619/1677908106396/AD52F6AA-A7A4-4949-951E-2FFB968FDEF9_16.png?w=600&amp;h=300"" alt="""" /></p>
<p>Introducing our Vintage Design Moissanite Engagement Ring, a timeless blend of classic allure and modern elegance. Inspired by vintage aesthetics, this ring features a brilliant 2.0-carat round cut Moissanite, radiating unmatched sparkle. The vintage-inspired setting adds a touch of romance and sophistication, creating a piece that transcends trends. Elevate your love story with the charm of the past and the brilliance of the future in this exquisite and enduring symbol of commitment.</p>",jewellery,Apparel & Accessories > Jewelry > Rings,TRUE,,white gold,,8.5,,,0,shopify,10115,deny,manual,12900,12900,TRUE,TRUE,,https://img-va.myshopline.com/image/store/2005006619/1677908106396/ER1152PMSS-6.jpg?w=800&h=800,1,Moissanite 2.0 Carat Round Cut Vintage Engagement Ring,active
sparkle-6-prongs-moissanite-engagement-ring-for-women-in-sterling-silver,1677908106396,Bortwide 2.0 Carat Round Cut Vintage Engagement Ring,"<table style=""width: 548px;"">
<tbody>
<tr>
<td style=""width: 285px;"">
<div><strong>Ring information:</strong></div>
</td>
<td style=""width: 249px;"">&nbsp;</td>
</tr>
<tr>
<td style=""width: 285px;"">
<div>Metal:</div>
</td>
<td style=""width: 249px;"">925 Sterling Silver;</td>
</tr>
<tr>
<td style=""width: 285px;"">
<div>Plating Color:</div>
</td>
<td style=""width: 249px;"">
<div>18K White Gold;</div>
</td>
</tr>
<tr>
<td style=""width: 285px;"">
<div>Rhodium:</div>
</td>
<td style=""width: 249px;"">Yes;</td>
</tr>
<tr>
<td style=""width: 285px;"">
<div>Nickel Free:</div>
</td>
<td style=""width: 249px;"">
<div>Yes;</div>
</td>
</tr>
<tr>
<td style=""width: 285px;"">
<div><strong>Gem Information:</strong></div>
</td>
<td style=""width: 249px;"">&nbsp;</td>
</tr>
<tr>
<td style=""width: 285px;"">
<div>Gem Type:</div>
</td>
<td style=""width: 249px;"">
<div>Bortwide Stone;</div>
</td>
</tr>
<tr>
<td style=""width: 285px;"">
<div>Center Stone Shape:</div>
</td>
<td style=""width: 249px;"">Round Cut(8.0mm);</td>
</tr>
<tr>
<td style=""width: 285px;"">
<div>Center Stone Color:</div>
</td>
<td style=""width: 249px;"">White;</td>
</tr>
<tr>
<td style=""width: 285px;"">Center Stone Weight:</td>
<td style=""width: 249px;"">
<div>2.0 Carat;</div>
</td>
</tr>
<tr>
<td style=""width: 285px;"">Band Side Stone Shape:</td>
<td style=""width: 249px;"">
<div>Round Cut;</div>
</td>
</tr>
</tbody>
</table>
<p><img src=""https://img-va.myshopline.com/image/store/2005006619/1677908106396/AD52F6AA-A7A4-4949-951E-2FFB968FDEF9_16.png?w=600&amp;h=300"" alt="""" /></p>
<p>Introducing our Vintage Design Moissanite Engagement Ring, a timeless blend of classic allure and modern elegance. Inspired by vintage aesthetics, this ring features a brilliant 2.0-carat round cut Moissanite, radiating unmatched sparkle. The vintage-inspired setting adds a touch of romance and sophistication, creating a piece that transcends trends. Elevate your love story with the charm of the past and the brilliance of the future in this exquisite and enduring symbol of commitment.</p>",jewellery,Apparel & Accessories > Jewelry > Rings,TRUE,,white gold,,9,,,0,shopify,10115,deny,manual,12900,12900,TRUE,TRUE,,https://img-va.myshopline.com/image/store/2005006619/1677908106396/ER1152PMSS-6.jpg?w=800&h=800,1,Moissanite 2.0 Carat Round Cut Vintage Engagement Ring,active
